0,shapeID,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,valueClass,Rec Usage,note
,CourseAchievementShape,pesc:inSection,In Section,FALSE,FALSE,IRI BNODE,,,,PostsecondarySectionShape,ceds:C200332,,
,CourseAchievementShape,pesc:inSession,In Session,TRUE,FALSE,IRI BNODE,,,,AcademicSessionShape,ceds:C200245,,
,CourseAchievementShape,rdf:type,Type,TRUE,TRUE,IRI,,ceds:C200346,,,,,
329,CourseSupplementalGradeShape,pesc:courseAcademicSupplementalGradeStatusCode,Course Academic Supplemental Grade Status Code,FALSE,FALSE,IRI,,"pescGradeStatusCodes:AuditedCourse
pescGradeStatusCodes:HonorsGrade
pescGradeStatusCodes:Incomplete
pescGradeStatusCodes:IncompleteNotResolvedFail
pescGradeStatusCodes:InProgress
pescGradeStatusCodes:NotYetReported
pescGradeStatusCodes:OtherFail
pescGradeStatusCodes:OtherPass
pescGradeStatusCodes:PassFailFail
pescGradeStatusCodes:PassFailPass
pescGradeStatusCodes:TransferNoGrade
pescGradeStatusCodes:Withdrew
pescGradeStatusCodes:WithdrewFailing
pescGradeStatusCodes:WithdrewNoPenalty
pescGradeStatusCodes:WithdrewPassing",picklist,,,Optional,
326,CourseSupplementalGradeShape,pesc:supplementalGradeCode,Supplemental Grade Code,FALSE,FALSE,IRI,,"pescSupplementalGradeCodes:BiCourseGrade
pescSupplementalGradeCodes:BlendedFinalGrade
pescSupplementalGradeCodes:ExamGrade
pescSupplementalGradeCodes:InstructorAssignedGrade
pescSupplementalGradeCodes:SubSessionGrade
pescSupplementalGradeCodes:TriCourseGrade",picklist,,,Recommended,
327,CourseSupplementalGradeShape,pesc:supplementalGradeSubSession,Supplemental Grade Sub Session,FALSE,FALSE,Literal,xsd:string,3,maxLength,,,Optional,numeric count of the subsession of a course
,CourseSupplementalGradeShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:CourseSupplementalGrade,,,,,
296,GradeShape,ceds:P000053,Course Academic Grade,FALSE,FALSE,Literal,xsd:string,10,maxLength,,,Recommended,
295,GradeShape,ceds:P001298,Course Academic Grade Scale Code,FALSE,FALSE,Literal,xsd:string,,,,,Recommended,"pesc:Appendix H Very long list. Need to handle out of spreadsheet, maybe use regular expression for valid codes"
297,GradeShape,ceds:P001299,Has Course Academic Grade Status Code,FALSE,FALSE,IRI,,"pescGradeStatusCodes:Completed
pescGradeStatusCodes:PlanningToTake
ceds:NI001299115324
ceds:NI001299115877         
ceds:NI001299115916         
ceds:NI001299115918         
ceds:NI001299115931         
ceds:NI001299116290         
ceds:NI001299116438         
ceds:NI001299116457         
ceds:NI001299116507
ceds:NI001299116508
ceds:NI001299117075
ceds:NI001299117192
ceds:NI001299117194
ceds:NI001299117195
ceds:NI001299117196",picklist,,,Recommended,
298,GradeShape,ceds:P001313,Course Narrative Explanation Grade,FALSE,FALSE,Literal,xsd:string,200,maxLength,,,Not Recommended,
,GradeShape,pesc:supplementalGrade,Supplemental Grade,FALSE,FALSE,BNODE,,,,CourseSupplementalGradeShape,pesc:Grade,,
,GradeShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:Grade,,,,,
,LicensureAchievementShape,pesc:inCourse,In Course,TRUE,FALSE,IRI BNODE,,,,CourseShape,ceds:C200328,,
,LicensureAchievementShape,pesc:licensureAchieved,Licensure Achieved,TRUE,FALSE,IRI BNODE,,,,LicensureShape,pesc:Licensure,,
351,LicensureAchievementShape,pesc:licensurePassageDate,Licensure Passage Date,FALSE,TRUE,Literal,xsd:date,,,,,Optional,
,LicensureAchievementShape,rdf:type,Type,TRUE,,IRI,,pesc:LicensureAchievement,,,,,
375,TestScoreShape,ceds:P000369,Assessment Score Metric Type,FALSE,FALSE,IRI,,"ceds:NI000027162378
ceds:NI000027162361
ceds:NI000027162379
ceds:NI000027162377
ceds:NI000027162366
ceds:NI000027162380
ceds:NI000027162371
ceds:NI000027162367
ceds:NI000027162355
pescTestScoreMethods:Equated
pescTestScoreMethods:Percent",picklist,,,Optional,
,TestScoreShape,pesc:inSubtest,In Subtest,TRUE,FALSE,IRI BNODE,,,,SubtestShape,ceds:C200051,,
,TestScoreShape,pesc:inTest,In Test,FALSE,FALSE,IRI BNODE,,,,TestShape,ceds:C200010,,
377,TestScoreShape,pesc:scoreInvalidatedIndicator,Score Invalidated Indicator,FALSE,FALSE,Literal,xsd:boolean,,,,,Optional,true/false
376,TestScoreShape,pesc:scoreRevisedIndicator,Score Revised Indicator,FALSE,FALSE,Literal,xsd:boolean,,,,,Optional,true/false
378,TestScoreShape,pesc:scoreSelfRportedIndicator,Score Self Reported Indicator,FALSE,FALSE,Literal,xsd:boolean,,,,,Optional,true/false
374,TestScoreShape,pesc:scoreValue,Score Value,TRUE,FALSE,Literal,xsd:string,80,maxLength,,,Required,
,TestScoreShape,pesc:studentLevel,Student Level,FALSE,FALSE,IRI,,"pescStudentLevelCodes:Postsecondary
pescStudentLevelCodes:PostsecondaryBachelorPreliminaryYear
pescStudentLevelCodes:NonDegree
pescStudentLevelCodes:Grade13
pescStudentLevelCodes:Ungraded
pescStudentLevelCodes:CollegeFirstYear
pescStudentLevelCodes:CollegeFirstYearAttendedBefore
pescStudentLevelCodes:CollegeSophomore
pescStudentLevelCodes:CollegeJunior
pescStudentLevelCodes:CollegeSenior
pescStudentLevelCodes:CollegeFifthYear
pescStudentLevelCodes:PostBaccalaureate
pescStudentLevelCodes:GraduateNonDegree
pescStudentLevelCodes:GraduateFirstYear
pescStudentLevelCodes:GraduateSecondYear
pescStudentLevelCodes:GraduateThirdYear
pescStudentLevelCodes:GraduateBeyondThirdYear
pescStudentLevelCodes:Professional
pescStudentLevelCodes:ProfessionalFirstYear
pescStudentLevelCodes:ProfessionalSecondYear
pescStudentLevelCodes:ProfessionalThirdYear
pescStudentLevelCodes:ProfessionalBeyondThirdYear
pescStudentLevelCodes:MastersQualifying
pescStudentLevelCodes:Masters
pescStudentLevelCodes:Doctoral
pescStudentLevelCodes:Postdoctoral",picklist,,,Optional,
366,TestScoreShape,pesc:testDate,Test Date,FALSE,FALSE,Literal,xsd:date,,,,,Required,
368,TestScoreShape,pesc:testYear,Test Year,FALSE,FALSE,Literal,xsd:gYear,,,,,Required,
367,TestScoreShape,pesc:testYearMonth,Test Year Month,FALSE,FALSE,Literal,xsd:gYearMonth,,,,,Required,
,TestScoreShape,rdf:type,Type,TRUE,TRUE,IRI,,ceds:C200047,,,,,
