0,shapeID,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,Rec Usage,note
286,AcademicSessionShape,ceds:P000254,Has Session Type,FALSE,FALSE,IRI,,"ceds:NI000254115787
ceds:NI000254116843
ceds:NI000254117085
ceds:NI000254116671
ceds:NI000254116676
ceds:NI000254116125
ceds:NI000254116976
ceds:NI000254115964
ceds:NI000254116047
pescSessionTypes:FallSession
pescSessionTypes:FourOneFourPlan
pescSessionTypes:Continuous
pescSessionTypes:DiffersByProgram
pescSessionTypes:Other
ceds:NI000254117090",picklist,,Recommended,
287,AcademicSessionShape,pesc:sessionSchoolYear,Session School Year,FALSE,FALSE,Literal,xsd:string,\d{4}-\d{4},pattern,,Optional,ccyy-ccyy
288,AcademicSessionShape,ceds:P000251,Session Begin Date,FALSE,FALSE,Literal,xsd:date,,,,Optional,
289,AcademicSessionShape,ceds:P000253,Session End Date,FALSE,FALSE,Literal,xsd:date,,,,Optional,
,CourseShape,rdf:type,Type,TRUE,TRUE,IRI,,ceds:C200328,,,,
290,CourseShape,ceds:P001303,Has Course Credit Basis Type,TRUE,FALSE,IRI,,"ceds:NI001303116728
ceds:NI001303115164
ceds:NI001303115209
ceds:NI001303115213
ceds:NI001303115491
ceds:NI001303115507
ceds:NI001303115675
ceds:NI001303115664
ceds:NI001303115957
pescCreditBasis:LifeExperience
ceds:NI001303116120
ceds:NI001303116736
ceds:NI001303115519
ceds:NI001303115860
ceds:NI001303115857
ceds:NI001303115859
ceds:NI001303115979
ceds:NI001303116065
ceds:NI001303115203",picklist,,Required,
,CourseShape,ceterms:offeredBy,Offered By,TRUE,FALSE,IRI BNODE,,,,OrganizationShape,,
291,CourseShape,ceds:P000057,Has Course Credit Units,FALSE,FALSE,IRI,,"ceds:NI000057116219
ceds:NI000057116669
ceds:NI000057116841
ceds:NI000057117114
ceds:NI000057115440
ceds:NI000057115402
ceds:NI000057115492
ceds:NI000057117127
ceds:NI000057116368",picklist,,Recommended,
292,CourseShape,ceds:P001304,Has Course Credit Level Type,FALSE,FALSE,IRI,,"ceds:NI001304117105
ceds:NI001304116050
ceds:NI001304117129
ceds:NI001304117161
ceds:NI001304117014
ceds:NI001304115808
ceds:NI001304116619
ceds:NI001304115600
ceds:NI001304115810
pescCreditLevels:Grade13
pescCreditLevels:DualGraduateUndergraduate",picklist,,Recommended,
293,CourseShape,ceds:P000058,Course Credit Value,FALSE,FALSE,Literal,xsd:decimal,,,,Recommended,decimal
295,CourseShape,ceds:P001298,Course Academic Grade Scale Code,FALSE,FALSE,Literal,xsd:string,,picklist,,Recommended,"pesc:Appendix H Very long list. Need to handle out of spreadsheet, maybe use regular expression for valid codes"
300,CourseShape,ceds:P000043,Has Classification of Instructional Program Code,FALSE,FALSE,Literal,xsd:string,^\d{2}\.\d{4}$,pattern,,Optional,
303,CourseShape,ceds:P001414,Has NCES College Course Map Code,FALSE,FALSE,Literal,xsd:string,10,maxLength,,Not Recommended,
304,CourseShape,ceterms:sced,Course SCED Code,FALSE,FALSE,Literal,xsd:string,^[\dPKG]{5}[BGEHCX]\d[\d|.]\d\d[1-9][1-9]$,pattern,,Not Recommended,
305,CourseShape,ceds:P001517,Course Five Digit SCED Code,FALSE,FALSE,Literal,xsd:string,^[\dPKG]{5}$,pattern,,Optional,
306,CourseShape,ceds:P001518,Course Subject Area Code,FALSE,FALSE,IRI,,"ceds:NI001518118404
ceds:NI001518118405
ceds:NI001518118406
ceds:NI001518118407
ceds:NI001518118408
ceds:NI001518118427
ceds:NI001518118410
ceds:NI001518118411
ceds:NI001518118412
ceds:NI001518118413
ceds:NI001518118414
ceds:NI001518118415
ceds:NI001518118416
ceds:NI001518118417
ceds:NI001518118418
ceds:NI001518118419
ceds:NI001518118420
ceds:NI001518118421
ceds:NI001518118422
ceds:NI001518118423
ceds:NI001518118424
ceds:NI001518118425
ceds:NI001518118426",picklist,,Optional,
308,CourseShape,ceds:P001312,Has Course Level Type,FALSE,FALSE,IRI,,"ceds:NI001312127883
ceds:NI001312127884
ceds:NI001312127885
ceds:NI001312127886
ceds:NI001312127893
ceds:NI001312127887
ceds:NI001312127888
ceds:NI001312127889
ceds:NI001312127890
ceds:NI001312127891
ceds:NI001312127892
ceds:NI001312127894
ceds:NI001312127895
ceds:NI001312127896
ceds:NI001312127897
ceds:NI001312127898
ceds:NI001312127899
ceds:NI001312127900
ceds:NI001312127901",picklist,,Recommended,
309,CourseShape,ceds:P000060, Has Course Grade Point Average Applicability,FALSE,FALSE,IRI,,"ceds:NI000060115254
ceds:NI000060116257
ceds:NI000060117182",picklist,,Optional,
310,CourseShape,ceds:P000066,Course Subject Abbreviation,FALSE,FALSE,Literal,xsd:string,10,maxLength,,Optional,
311,CourseShape,ceds:P001314,Course Number,FALSE,FALSE,Literal,xsd:string,15,maxLength,,Recommended,
313,CourseShape,ceds:P001420,Original Course Identifier,FALSE,FALSE,Literal,xsd:string,30,maxLength,,Recommended,
314,CourseShape,pesc:agencyCourseID,Agency Course ID,FALSE,FALSE,Literal,xsd:string,30,maxLength,,Optional,
315,CourseShape,ceds:P000068,Course Title,FALSE,FALSE,Literal,xsd:string,60,maxLength,,Recommended,
318,CourseShape,pesc:courseOverrideSchool,Course Override School,FALSE,FALSE,IRI BNODE,,,,OrganizationShape,Optional,
319,CourseShape,pesc:overrideSchoolCourseNumber,Override School Course Number,FALSE,FALSE,Literal,xsd:string,35,maxLength,,Optional,
320,CourseShape,pesc:courseApplicability,Course Applicability,FALSE,FALSE,IRI,,"pescCourseApplicabilityCodes:NotApplicable
pescCourseApplicabilityCodes:FirstProgram
pescCourseApplicabilityCodes:SecondProgram
pescCourseApplicabilityCodes:BothPrograms",picklist,,Not Recommended,
331,CourseShape,pesc:requirement,Requirement,FALSE,TRUE,IRI BNODE,,,,RAPShape,Optional,
332,CourseShape,pesc:attribute,Attribute,FALSE,TRUE,IRI BNODE,,,,RAPShape,Optional,
333,CourseShape,pesc:proficiency,Proficiency,FALSE,TRUE,IRI BNODE,,,,RAPShape,Optional,
,CourseShape,pesc:licensure,Licensure,FALSE,TRUE,IRI BNODE,,,,LicensureShape,Optional,
,CourseShape,ceds:P600267,Has Postsecondary Section,FALSE,TRUE,IRI BNODE,,,,PostsecondarySectionShape,Optional,
,CourseShape,ceds:P000448,Has Instruction Language,FALSE,FALSE,Literal,xsd:string,3..3,lengthRange,,Optional,
,PostsecondarySectionLocationShape,rdf:type,Type,TRUE,FALSE,IRI,,ceds:C200333,,,,
,PostsecondarySectionLocationShape,ceds:P001310,Has Course Instruction Site Type,FALSE,FALSE,IRI,,"ceds:NI001310116323
ceds:NI001310116309
ceds:NI001310115690
ceds:NI001310116965
ceds:NI001310115501
ceds:NI001310116118
ceds:NI001310117017
ceds:NI001310115328
ceds:NI001310115439",picklist,,Optional,
,PostsecondarySectionLocationShape,ceds:P001309,Course Instruction Site Name,FALSE,TRUE,Literal,xsd:string,,,,,
312,PostsecondarySectionShape,ceds:P001315,Course Section Number,FALSE,FALSE,Literal,xsd:string,10,maxLength,,Optional,
,PostsecondarySectionShape,rdf:type,Type,TRUE,TRUE,IRI,,ceds:C200332,,,,
,PostsecondarySectionShape,ceds:P600108,Has Postsecondary Section Location,TRUE,FALSE,IRI BNODE,,,,PostsecondarySectionLocationShape,,
364,TestShape,ceds:P001067,Assessment Identifier,TRUE,FALSE,Literal,xsd:string,,,,Recommended,
365,TestShape,ceds:P000028,Assessment Title,FALSE,FALSE,Literal,xsd:string,,,,Recommended,pesc:Appendix D or pesc:Appendix E
369,TestShape,pesc:subTest,Sub Test,FALSE,TRUE,IRI BNODE,,,,TestShape,Required,
,TestShape,rdf:type,Type,TRUE,TRUE,IRI,,ceds:C200010,,,,
379,RAPShape,pesc:rapCode,RAP Code,FALSE,TRUE,Literal,xsd:string,3,maxLength,,Recommended,
380,RAPShape,pesc:rapName,RAP Name,FALSE,TRUE,Literal,xsd:string,60,maxLength,,Recommended,
381,RAPShape,pesc:rapSubName,RAP Sub Name,FALSE,TRUE,Literal,xsd:string,60,maxLength,,Optional,
,RAPShape,rdf:type,Type,TRUE,TRUE,IRI,,ceds:C200065,,,,
321,PostsecondarySectionShape,ceds:P000054,Course Begin Date,FALSE,FALSE,Literal,xsd:date,,,,Optional,
322,PostsecondarySectionShape,ceds:P000059,Course End Date,FALSE,FALSE,Literal,xsd:date,,,,Optional,
,LicensureShape,rdf:type,type,TRUE,TRUE,IRI,,pesc:Licensure,,,Recommended,
350,LicensureShape,pesc:licensureName,Licensure Name,FALSE,TRUE,Literal,xsd:string,60,maxLength,,Recommended,
